Binomial,Range,MaturePop,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel,Range_km^2,pop_density
Acerodon jubatus,144170000000,6700,Acerodon,Pteropodidae,Chiroptera,1087.04,3650,EN,Herbivore,144170,0.046472913921065
Acinonyx jubatus,2943300000000,6674,Acinonyx,Felidae,Carnivora,50577.92,2190,VU,Carnivore,2943300,0.002267522848503
Addax nasomaculatus,33784517743,51.96152423,Addax,Bovidae,Cetartiodactyla,96077.36,2555,CR,Herbivore,33784.517743,0.00153802770326
Aepyceros melampus,3359990000000,2000000,Aepyceros,Bovidae,Cetartiodactyla,52591.69,2674.111667,LC,Herbivore,3359990,0.595239866785318
Ailuropoda melanoleuca,25709600127,1040,Ailuropoda,Ursidae,Carnivora,118000,5246.699417,VU,Herbivore,25709.600127,0.040451815464364
Alcelaphus buselaphus,6759380000000,242540,Alcelaphus,Bovidae,Cetartiodactyla,160937.9,2863.875333,LC,Herbivore,6759380,0.035881989176522
Alouatta guariba,1076630000000,528.63,Alouatta,Atelidae,Primates,5188.33,3888.341186,LC,Herbivore,1076630,0.000491004337609
Ammodorcas clarkei,83716858536,2800,Ammodorcas,Bovidae,Cetartiodactyla,28049.81,2555,VU,Herbivore,83716.858536,0.033446071065793
Ammotragus lervia,1416970000000,7071.067812,Ammotragus,Bovidae,Cetartiodactyla,94202.22,1825,VU,Herbivore,1416970,0.004990273479326
Antechinomys laniger,2438410000000,44721.35955,Antechinomys,Dasyuridae,Dasyuromorphia,25.57,654.85,LC,Insectivore,2438410,0.018340377356556
Antechinus bellus,20577833749,25148.66859,Antechinus,Dasyuridae,Dasyuromorphia,38.73,622.1218,VU,Carnivore,20577.833749,1.22212419911411
Antidorcas marsupialis,1950010000000,1565247.584,Antidorcas,Bovidae,Cetartiodactyla,33571.24,2563.152683,LC,Herbivore,1950010,0.802686952374603
Antilocapra americana,2007740000000,750000,Antilocapra,Antilocapridae,Cetartiodactyla,47450.01,1652.841667,LC,Herbivore,2007740,0.373554344686065
Antilope cervicapra,1754050000000,35000,Antilope,Bovidae,Cetartiodactyla,36301.1,2747.350267,LC,Herbivore,1754050,0.019953821156752
Aplodontia rufa,245472000000,67000,Aplodontia,Aplodontiidae,Rodentia,806.21,1576.8,LC,Herbivore,245472,0.272943553643593
Aproteles bulmerae,48155327.49,148.0540442,Aproteles,Pteropodidae,Chiroptera,623.91,2349.856741,CR,Herbivore,48.15532749,3.07451017191701
Axis kuhlii,63797794.85,316.227766,Axis,Cervidae,Cetartiodactyla,54999.99,1985.475,CR,Herbivore,63.79779485,4.95671937789555
Babyrousa togeanensis,533083881.2,500,Babyrousa,Suidae,Cetartiodactyla,85000,2056.2175,EN,Omnivore,533.0838812,0.937938695265881
Bdeogale omnivora,28493008653,8111.719916,Bdeogale,Herpestidae,Carnivora,2281.713333,1825,VU,Insectivore,28493.008653,0.284691589252226
Beatragus hunteri,10578252435,223.6067977,Beatragus,Bovidae,Cetartiodactyla,79132.17,2253.9745,CR,Herbivore,10578.252435,0.021138349559532
Bettongia gaimardi,29087370433,31622.7766,Bettongia,Potoroidae,Diprotodontia,1667.55,1442.15,NT,Herbivore,29087.370433,1.08716518988336
Bettongia lesueur,327757979,14500,Bettongia,Potoroidae,Diprotodontia,1447.27,1205.0795,NT,Omnivore,327.757979,44.2399603641686
Bettongia penicillata,4058272732,14696.93846,Bettongia,Potoroidae,Diprotodontia,1184.35,1517.6945,CR,Herbivore,4058.272732,3.62147628573919
Bettongia tropica,315835889.1,7071.067812,Bettongia,Potoroidae,Diprotodontia,1256.58,1008.6976,EN,Omnivore,315.8358891,22.3884240392996
Bison bison,140673000000,12149.38286,Bison,Bovidae,Cetartiodactyla,624577.1,4288.141667,NT,Herbivore,140673,0.086366131809231
Bos gaurus,1370090000000,11224.97216,Bos,Bovidae,Cetartiodactyla,721000,3285,VU,Herbivore,1370090,0.00819287211789
Bos javanicus,156360000000,5656.854249,Bos,Bovidae,Cetartiodactyla,635974.3,3285,EN,Herbivore,156360,0.036178397601688
Bos mutus,469488000000,8659.821014,Bos,Bovidae,Cetartiodactyla,650000,3650,VU,Herbivore,469488,0.018445244636711
Boselaphus tragocamelus,2289610000000,83666.00265,Boselaphus,Bovidae,Cetartiodactyla,182253,2944.82,LC,Herbivore,2289610,0.036541595577413
Brachyteles arachnoides,86274540597,871,Brachyteles,Atelidae,Primates,10537.31,7300,EN,Herbivore,86274.540597,0.010095678214835
Brachyteles hypoxanthus,96658196420,855,Brachyteles,Atelidae,Primates,13500,7300,CR,Herbivore,96658.19642,0.008845602666585
Bubalus depressicornis,101170000000,2500,Bubalus,Bovidae,Cetartiodactyla,256989.3,2920,EN,Herbivore,101170,0.024710882672729
Bubalus mindorensis,71861163.15,256.9046516,Bubalus,Bovidae,Cetartiodactyla,254389.7,3650,CR,Herbivore,71.86116315,3.57501382302633
Bubalus quarlesi,70025755616,50,Bubalus,Bovidae,Cetartiodactyla,181718.9,2920,EN,Herbivore,70025.755616,0.00071402299854
Burramys parvus,1197791204,2250,Burramys,Burramyidae,Diprotodontia,44.27,1529.35,CR,Omnivore,1197.791204,1.87845760804234
Caenolestes condorensis,78682885.9,1000,Caenolestes,Caenolestidae,Paucituberculata,47.81,998.6765636,VU,NotAssigned,78.6828859,12.7092440568451
Callicebus barbarabrownae,129709000000,260,Callicebus,Pitheciidae,Primates,1050,2920,CR,Omnivore,129709,0.00200448696698
Camelus ferus,202139000000,950,Camelus,Camelidae,Cetartiodactyla,268000,5840,CR,Herbivore,202139,0.004699736320057
Canis lupus,51172700000000,149816.5545,Canis,Canidae,Carnivora,31756.51,2883.256667,LC,Carnivore,51172700,0.002927665620536
Canis simensis,6131383047,197,Canis,Canidae,Carnivora,14361.86,1460,EN,Carnivore,6131.383047,0.032129781892585
Capra caucasica,11887331982,4898.979486,Capra,Bovidae,Cetartiodactyla,58149.52,2555,EN,Herbivore,11887.331982,0.412117663864197
Capra cylindricornis,22359335860,26153.39366,Capra,Bovidae,Cetartiodactyla,50000,2555,NT,Herbivore,22359.33586,1.16968562142257
Capra falconeri,18585938332,5754,Capra,Bovidae,Cetartiodactyla,54303.37,2555,NT,Herbivore,18585.938332,0.309588889041623
Capra ibex,2142098821,31420,Capra,Bovidae,Cetartiodactyla,69546.83,2958.933333,LC,Herbivore,2142.098821,14.6678573798627
Capra pyrenaica,52244381646,50000,Capra,Bovidae,Cetartiodactyla,60898.77,2471.76,LC,Herbivore,52244.381646,0.957040708009378
Capra sibirica,1562760000000,163766.4766,Capra,Bovidae,Cetartiodactyla,130000,2875.226667,LC,Herbivore,1562760,0.10479310745092
Capra walie,844923837.8,500,Capra,Bovidae,Cetartiodactyla,100144,1956.36625,EN,Herbivore,844.9238378,0.591769314145394
Capreolus capreolus,6440260000000,15000000,Capreolus,Cervidae,Cetartiodactyla,22502.01,2335.391667,LC,Herbivore,6440260,2.32909851465624
Capreolus pygargus,11998100000000,670000,Capreolus,Cervidae,Cetartiodactyla,41371.03,3063.8029,LC,Herbivore,11998100,0.055842175011044
Capricornis crispus,139676000000,100000,Capricornis,Bovidae,Cetartiodactyla,43030.64,3135.631967,LC,Herbivore,139676,0.715942610040379
Caprolagus hispidus,114548000000,146.73,Caprolagus,Leporidae,Lagomorpha,2496.99,1104.3199,EN,Herbivore,114548,0.001280947724971
Cavia intermedia,293728.9026,37.94733192,Cavia,Caviidae,Rodentia,566.7175,763.4281,CR,Herbivore,0.2937289026,129.191685203947
Cephalophus adersi,5017959115,14000,Cephalophus,Bovidae,Cetartiodactyla,9249.95,703.088,VU,Herbivore,5017.959115,2.78997888965462
Cephalophus callipygus,745835000000,255940,Cephalophus,Bovidae,Cetartiodactyla,19079.23,1936.42625,LC,Omnivore,745835,0.343159009700537
Cephalophus dorsalis,3569430000000,485750,Cephalophus,Bovidae,Cetartiodactyla,20000,2362.6281,NT,Omnivore,3569430,0.136086153811673
Cephalophus jentinki,59693100336,2000,Cephalophus,Bovidae,Cetartiodactyla,68489.54,1825,EN,Omnivore,59693.100336,0.033504709736007
Cephalophus leucogaster,1003260000000,192290,Cephalophus,Bovidae,Cetartiodactyla,13208.69,836.8205,NT,Omnivore,1003260,0.191665171540777
Cephalophus natalensis,897289000000,28140,Cephalophus,Bovidae,Cetartiodactyla,12724.51,1890.876667,LC,Omnivore,897289,0.031361133369516
Cephalophus niger,761615000000,67000,Cephalophus,Bovidae,Cetartiodactyla,19094.32,1571.426333,LC,Omnivore,761615,0.087970956454377
Cephalophus nigrifrons,3192000000000,201000,Cephalophus,Bovidae,Cetartiodactyla,14676.33,2407.975,LC,Omnivore,3192000,0.06296992481203
Cephalophus ogilbyi,437959000000,23450,Cephalophus,Bovidae,Cetartiodactyla,18386.42,1965.47,LC,Omnivore,437959,0.053543824878585
Cephalophus rufilatus,2928980000000,113900,Cephalophus,Bovidae,Cetartiodactyla,12114.57,1770.8773,LC,Omnivore,2928980,0.038887257680148
Cephalophus silvicultor,6159620000000,107200,Cephalophus,Bovidae,Cetartiodactyla,62006.6,2275.945333,NT,Omnivore,6159620,0.017403671005679
Cephalophus spadix,6572388586,1500,Cephalophus,Bovidae,Cetartiodactyla,56857.02,962.787,EN,Herbivore,6572.388586,0.228227527994188
Cephalophus weynsi,1484370000000,125960,Cephalophus,Bovidae,Cetartiodactyla,17000,2066.138333,LC,Omnivore,1484370,0.084857548993849
Cephalophus zebra,58893254838,9500,Cephalophus,Bovidae,Cetartiodactyla,15654.75,1825,VU,Omnivore,58893.254838,0.16130879548315
Ceratotherium simum,1220050000000,13513.9,Ceratotherium,Rhinocerotidae,Perissodactyla,2285939,6865.345833,NT,Herbivore,1220050,0.011076513257653
Cercopithecus dryas,1361544809,158.113883,Cercopithecus,Cercopithecidae,Primates,2784.06,3875.131454,CR,Herbivore,1361.544809,0.116128299233962
Cervus elaphus,3693150000000,1631785,Cervus,Cervidae,Cetartiodactyla,240867.1,5209.4516,LC,Herbivore,3693150,0.441840975860715
Chalinolobus neocaledonicus,16389214221,1005,Chalinolobus,Vespertilionidae,Chiroptera,10.17,2051.666208,EN,Insectivore,16389.214221,0.061320816632701
Chinchilla lanigera,24492796721,5350,Chinchilla,Chinchillidae,Rodentia,480.28,1825,EN,Herbivore,24492.796721,0.218431568307303
Choeropsis liberiensis,139545000000,2235.620719,Choeropsis,Hippopotamidae,Cetartiodactyla,227500,5062.938695,EN,Herbivore,139545,0.016020786979111
Chrysocyon brachyurus,4335910000000,17000,Chrysocyon,Canidae,Carnivora,23325,2032.3307,NT,Omnivore,4335910,0.003920745587431
Coleura seychellensis,227694579.8,70.71067812,Coleura,Emballonuridae,Chiroptera,10.64,788.4,CR,Insectivore,227.6945798,0.31055055496758
Conilurus penicillatus,16145231411,50000,Conilurus,Muridae,Rodentia,175.02,639.6318318,VU,Omnivore,16145.231411,3.09688964668132
Connochaetes gnou,403591000000,11158,Connochaetes,Bovidae,Cetartiodactyla,156547.5,2860.14,LC,Herbivore,403591,0.02764680084541
Connochaetes taurinus,3087760000000,1038500,Connochaetes,Bovidae,Cetartiodactyla,198619.7,2942.265,LC,Herbivore,3087760,0.336327952949711
Crocuta crocuta,14471900000000,23867.42759,Crocuta,Hyaenidae,Carnivora,63369.98,5054.41125,LC,Carnivore,14471900,0.001649225574389
Cryptoprocta ferox,442881000000,4767.547588,Cryptoprocta,Eupleridae,Carnivora,9500,2555,VU,Carnivore,442881,0.010764850124526
Cuon alpinus,3444020000000,1449.839646,Cuon,Canidae,Carnivora,15800,2041.808633,EN,Carnivore,3444020,0.000420973062293
Cynogale bennettii,1090110000000,2490,Cynogale,Viverridae,Carnivora,4246.57,1825,EN,Omnivore,1090110,0.002284173156837
Cynomys ludovicianus,1820820000000,7404840,Cynomys,Sciuridae,Rodentia,797.05,1567.7682,LC,Herbivore,1820820,4.06676112960095
Cynomys parvidens,8276422112,8000,Cynomys,Sciuridae,Rodentia,899.98,1567.7682,EN,Omnivore,8276.422112,0.966601254955421
Damaliscus lunatus,1840650000000,201000,Damaliscus,Bovidae,Cetartiodactyla,136000.3,2190,LC,Herbivore,1840650,0.109200554152066
Damaliscus pygargus,395524000000,161461.312,Damaliscus,Bovidae,Cetartiodactyla,77784.55,3053.358833,LC,Herbivore,395524,0.408221276079328
Dasycercus cristicauda,114851000000,18000,Dasycercus,Dasyuridae,Dasyuromorphia,99.54,1070.30375,NT,Carnivore,114851,0.156724799958207
Dasyuroides byrnei,71511183004,5000,Dasyuroides,Dasyuridae,Dasyuromorphia,109.47,1049.08055,VU,Carnivore,71511.183004,0.069919134182416
Dasyurus geoffroii,188680000000,13416.40786,Dasyurus,Dasyuridae,Dasyuromorphia,1106.62,910.7963,NT,Insectivore,188680,0.071106677231291
Dasyurus maculatus,464969000000,14000,Dasyurus,Dasyuridae,Dasyuromorphia,3284.15,917.4219,NT,Omnivore,464969,0.030109534183999
Dasyurus viverrinus,63883697020,10954.45115,Dasyurus,Dasyuridae,Dasyuromorphia,1101.49,1010.0935,EN,Omnivore,63883.69702,0.17147490926473
Dendrolagus lumholtzi,7383082321,17320.50808,Dendrolagus,Macropodidae,Diprotodontia,6649.97,3618.937877,NT,Herbivore,7383.082321,2.34597249860462
Dendrolagus matschiei,12712496437,2500,Dendrolagus,Macropodidae,Diprotodontia,8293.4,3401.503017,EN,Herbivore,12712.496437,0.196656888943048
Dicerorhinus sumatrensis,8510949889,245.9674775,Dicerorhinus,Rhinocerotidae,Perissodactyla,1046156,7300,CR,Herbivore,8510.949889,0.028900120516266
Diceros bicornis,5299790000000,3269.6,Diceros,Rhinocerotidae,Perissodactyla,995940.5,6205,CR,Herbivore,5299790,0.000616930104778
Diplogale hosei,100926000000,9500,Diplogale,Viverridae,Carnivora,1450,1825,VU,Insectivore,100926,0.094128371281929
Dipodomys gravipes,5681977342,7,Dipodomys,Heteromyidae,Rodentia,83.96,824.7267,CR,Omnivore,5681.977342,0.001231965489946
Dorcatragus megalotis,50718482349,7000,Dorcatragus,Bovidae,Cetartiodactyla,10918.12,1825,VU,Herbivore,50718.482349,0.138016748053149
Elaphodus cephalophus,1933560000000,259489.8842,Elaphodus,Cervidae,Cetartiodactyla,23087.87,2555,NT,Herbivore,1933560,0.13420317145576
Elephas maximus,598732000000,31193.5652,Elephas,Elephantidae,Proboscidea,3269794,8030,EN,Herbivore,598732,0.052099378686959
Enhydra lutris,2026050000000,84306.77,Enhydra,Mustelidae,Carnivora,27410.93,5475,EN,Insectivore,2026050,0.041611396559809
Equus africanus,67426856698,67.82329983,Equus,Equidae,Perissodactyla,250000,3041.701561,CR,Herbivore,67426.856698,0.001005879602749
Equus grevyi,90832523372,1956,Equus,Equidae,Perissodactyla,408000.3,2190,EN,Herbivore,90832.523372,0.021534136974146
Equus hemionus,348638000000,28000,Equus,Equidae,Perissodactyla,235248.1,1825,NT,Herbivore,348638,0.080312530475737
Equus kiang,1785560000000,64807.40698,Equus,Equidae,Perissodactyla,281138.6,3704.385,LC,Herbivore,1785560,0.036295283821322
Equus quagga,2314210000000,193649.1673,Equus,Equidae,Perissodactyla,400000,3659.125,NT,Herbivore,2314210,0.083678303740801
Eudorcas albonotata,128522000000,186260,Eudorcas,Bovidae,Cetartiodactyla,25000,1816.76125,LC,Herbivore,128522,1.44924604347894
Eudorcas rufifrons,2197970000000,8040,Eudorcas,Bovidae,Cetartiodactyla,26999.77,1825,VU,Herbivore,2197970,0.003657920717753
Eudorcas thomsonii,157282000000,368500,Eudorcas,Bovidae,Cetartiodactyla,22907.43,2190,NT,Herbivore,157282,2.34292544601417
Eulemur cinereiceps,1817018814,4867.55,Eulemur,Lemuridae,Primates,2250,3206.295944,CR,Herbivore,1817.018814,2.67886604282569
Eumops floridanus,999178865,3872.983346,Eumops,Molossidae,Chiroptera,38.47,1427.913317,VU,Insectivore,999.178865,3.87616620173406
Eupetaurus cinereus,32782559368,1160.474041,Eupetaurus,Sciuridae,Rodentia,2500,2015.755102,EN,Herbivore,32782.559368,0.035399128785923
Felis margarita,1897610000000,27264,Felis,Felidae,Carnivora,2823.36,1730.465,LC,Carnivore,1897610,0.014367546545391
Felis nigripes,1948150000000,9707,Felis,Felidae,Carnivora,1362.77,1685.3793,VU,Carnivore,1948150,0.004982675871981
Galidictis grandidieri,995714670.7,158.542887,Galidictis,Eupleridae,Carnivora,1400,1754.1,EN,Carnivore,995.7146707,0.159225219498415
Gazella arabica,217985000000,5916.079783,Gazella,Bovidae,Cetartiodactyla,24124.67,2137.174017,VU,Herbivore,217985,0.027139848076703
Gazella bennettii,2764530000000,59160.79783,Gazella,Bovidae,Cetartiodactyla,18916.67,2141.73375,LC,Herbivore,2764530,0.021399947850087
Gazella gazella,14514166906,2500,Gazella,Bovidae,Cetartiodactyla,21306.83,2190,EN,Herbivore,14514.166906,0.172245504422753
Gazella leptoceros,604286000000,424.2640687,Gazella,Bovidae,Cetartiodactyla,24645.75,1729.8227,EN,Herbivore,604286,0.000702091507498
Gazella subgutturosa,7107800000000,45365.18489,Gazella,Bovidae,Cetartiodactyla,26981.37,2496.146667,VU,Herbivore,7107800,0.006382450953882
Genetta bourloni,146865000000,9850,Genetta,Viverridae,Carnivora,1865.378167,2555,VU,Carnivore,146865,0.067068396146121
Genetta cristata,100907000000,7000,Genetta,Viverridae,Carnivora,1863.23,2555,VU,Carnivore,100907,0.069370806782483
Genetta piscivora,223601000000,10000,Genetta,Viverridae,Carnivora,1648.05,2423.6,NT,Insectivore,223601,0.044722519130058
Geocapromys ingrahami,8322722.96,8710,Geocapromys,Capromyidae,Rodentia,733.52,1153.4,VU,Herbivore,8.32272296,1046.53249205354
Giraffa camelopardalis,1821650000000,68293,Giraffa,Giraffidae,Cetartiodactyla,964654.7,5251.011667,VU,Herbivore,1821650,0.037489638514534
Gorilla beringei,47439345948,2600,Gorilla,Hominidae,Primates,149325.2,7300,CR,Herbivore,47439.345948,0.054806826444234
Gorilla gorilla,696517000000,214400,Gorilla,Hominidae,Primates,112589,8030,CR,Herbivore,696517,0.307817325348843
Gymnobelideus leadbeateri,3023861457,2500,Gymnobelideus,Petauridae,Diprotodontia,137.32,1587.5675,CR,Omnivore,3023.861457,0.826757454185838
Hapalemur alaotrensis,216327761.7,1675,Hapalemur,Lemuridae,Primates,1616.83,3285,CR,Herbivore,216.3277617,7.74288046451876
Hippocamelus antisensis,424713000000,4891.983238,Hippocamelus,Cervidae,Cetartiodactyla,68599.35,1459.26,VU,Herbivore,424713,0.011518327053799
