Binomial,Range,Genus,Family,Order,AdultBodyMassG,GenerationLengthD,RedListStatus,TrophicLevel
Abditomys latidens,788227268.165346,Abditomys,Muridae,Rodentia,268.09,639.6318318,DD,Herbivore
Abeomelomys sevia,9683637064.08965,Abeomelomys,Muridae,Rodentia,54.88,624.3996409,LC,Omnivore
Abrawayaomys ruschii,50734679053.4657,Abrawayaomys,Cricetidae,Rodentia,62.99,589.3882991,LC,Omnivore
Abrocoma bennettii,124896017428.642,Abrocoma,Abrocomidae,Rodentia,250.5,1032.923574,LC,Herbivore
Abrocoma boliviensis,64739212.0057018,Abrocoma,Abrocomidae,Rodentia,158,1032.923574,CR,Herbivore
Abrocoma budini,405507488.549637,Abrocoma,Abrocomidae,Rodentia,116.305,1032.923574,DD,Herbivore
Abrocoma cinerea,529152754277.995,Abrocoma,Abrocomidae,Rodentia,193.64,1032.923574,LC,Herbivore
Abrocoma famatina,3306519578.24229,Abrocoma,Abrocomidae,Rodentia,89.495,717.7762436,DD,Herbivore
Abrocoma shistacea,5496616435.47178,Abrocoma,Abrocomidae,Rodentia,109.39,1032.923574,LC,Herbivore
Abrocoma uspallata,14317813.1219349,Abrocoma,Abrocomidae,Rodentia,164.2793,1032.923574,DD,Herbivore
Abrocoma vaccarum,37175702.2090819,Abrocoma,Abrocomidae,Rodentia,232.625,1032.923574,DD,Herbivore
Abrothrix andinus,612688887487.066,Abrothrix,Cricetidae,Rodentia,24.91,589.3882991,LC,Omnivore
Abrothrix jelskii,498022438234.006,Abrothrix,Cricetidae,Rodentia,34.5,589.3882991,LC,Omnivore
Abrothrix lanosus,40587893976.4837,Abrothrix,Cricetidae,Rodentia,27.83,589.3882991,LC,Omnivore
Abrothrix longipilis,717949898648.216,Abrothrix,Cricetidae,Rodentia,38.86,589.3882991,LC,Omnivore
Abrothrix olivaceus,1083345055783.33,Abrothrix,Cricetidae,Rodentia,24.52,589.3882991,LC,Omnivore
Abrothrix sanborni,4530172089.96264,Abrothrix,Cricetidae,Rodentia,24.7,589.3882991,NT,Omnivore
Acerodon celebensis,177574280717.629,Acerodon,Pteropodidae,Chiroptera,384.84,1642.5,VU,Herbivore
Acerodon humilis,929157181.780631,Acerodon,Pteropodidae,Chiroptera,646.6033333,1642.5,EN,Herbivore
Acerodon leucotis,12751180658.3774,Acerodon,Pteropodidae,Chiroptera,646.6033333,1460,VU,Herbivore
Acerodon mackloti,74622810661.4123,Acerodon,Pteropodidae,Chiroptera,467.93,1825,VU,Herbivore
Acomys airensis,1825638342436.21,Acomys,Muridae,Rodentia,38.657,650.0125,LC,Insectivore
Acomys cahirinus,4017285726837.86,Acomys,Muridae,Rodentia,41.16,650.0125,LC,Omnivore
Acomys cilicicus,17625137.015363,Acomys,Muridae,Rodentia,48,650.0125,DD,Omnivore
Acomys cineraceus,1049545703683.92,Acomys,Muridae,Rodentia,19.24,650.0125,LC,Insectivore
Acomys dimidiatus,1558726498080.71,Acomys,Muridae,Rodentia,50,650.0125,LC,Omnivore
Acomys ignitus,105257336315.252,Acomys,Muridae,Rodentia,24,650.0125,LC,Insectivore
Acomys johannis,426085265225.807,Acomys,Muridae,Rodentia,63.85388804,650.0125,LC,Insectivore
Acomys kempi,569643251882.304,Acomys,Muridae,Rodentia,21.99,650.0125,LC,Insectivore
Acomys louisae,688440046244.099,Acomys,Muridae,Rodentia,20.19,650.0125,LC,Insectivore
Acomys minous,8344718601.38499,Acomys,Muridae,Rodentia,62.5,650.0125,DD,Herbivore
Acomys mullah,160420649751.978,Acomys,Muridae,Rodentia,63.85388804,650.0125,LC,Insectivore
